snippet,keywords,news_desk,headline,pub_date,negative,positive,sentiment_score
"Texas Christian returned two interceptions for touchdowns, just part of a zany back-and-forth upset of Michigan, 51-45, which put the Horned Frogs in the national championship game.","[{'name': 'subject', 'value': 'Football (College)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Big 12 Conference', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Big Ten Conference', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'University of Michigan', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Texas Christian University', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Dykes, Daniel (Sonny) (1969- )', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Duggan, Max (2001- )', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Harbaugh, Jim', 'rank': 8, 'major': 'N'}]",Sports,"{'main': 'T.C.U. Upends Michigan in Wild Playoff Semifinal', 'kicker': None, 'content_kicker': None, 'print_headline': 'T.C.U., Dealing Michigan First Loss, Reaches Championship Game', 'name': None, 'seo': None, 'sub': None}",2023-01-01T01:27:54+0000,0.0005620695883408189,0.9994378685951233,0.9988757990067825
"Hours before Russian troops began withdrawing from the suburban town, a Russian soldier left a trail of blood and devastated lives in a last paroxysm of violence.","[{'name': 'glocations', 'value': 'Bucha (Ukraine)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'War Crimes, Genocide and Crimes Against Humanity', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Civilian Casualties', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Russian Invasion of Ukraine (2022)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Defense and Military Forces', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Putin, Vladimir V', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Kyiv (Ukraine)', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Russia', 'rank': 8, 'major': 'N'}]",Foreign,"{'main': 'In Bucha, a Final Rampage Served as a Coda to a Month of Atrocities', 'kicker': None, 'content_kicker': None, 'print_headline': 'In Bucha, a Final Rampage Served as Coda to a Month of Atrocities', 'name': None, 'seo': None, 'sub': None}",2023-01-01T04:00:10+0000,0.9964781403541565,0.00352184334769845,-0.992956297006458
"Georgia scored in the final minute of the game, and Ohio State missed a field goal in the first minute of 2023.","[{'name': 'subject', 'value': 'Football (College)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'College Football Playoff National Championship', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Playoff Games', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'PEACH BOWL (FOOTBALL GAME)', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'University of Georgia', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Ohio State University', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Bennett, Stetson (1997- )', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Stroud, C J (2001- )', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Smart, Kirby', 'rank': 9, 'major': 'N'}, {'name': 'persons', 'value': 'Day, Ryan (1979- )', 'rank': 10, 'major': 'N'}]",Sports,"{'main': 'Georgia Downs Ohio State in Semifinal on Last-Minute Touchdown', 'kicker': None, 'content_kicker': None, 'print_headline': 'Razor-Thin Win in Thriller Gives Georgia Work to Do', 'name': None, 'seo': None, 'sub': None}",2023-01-01T05:06:06+0000,0.9924582839012146,0.0075416527688503265,-0.9849166311323643
"More than offering prescriptions, suggestions — good or bad — about how we should live broaden our worldview and put us in touch with our desires.","[{'name': 'subject', 'value': 'Philosophy', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Ethics (Personal)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Callard, Agnes (1976- )', 'rank': 3, 'major': 'N'}]",Styles,"{'main': 'How Should You Be? Try Taking Suggestions.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Please Take All This Merely as a Suggestion', 'name': None, 'seo': None, 'sub': None}",2023-01-01T08:00:11+0000,0.00237837596796453,0.9976215958595276,0.9952432198915631
Some of the highest-profile complaints show how America’s culture wars are affecting the nation’s children.,"[{'name': 'subject', 'value': 'Discrimination', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Disabilities', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Minorities', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Race and Ethnicity', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Homosexuality and Bisexuality', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Transgender and Transsexuals', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Civil Rights and Liberties', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'School Discipline (Students)', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Education (K-12)', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'Education Department (US)', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 11, 'major': 'N'}, {'name': 'organizations', 'value': 'National Assn for the Advancement of Colored People', 'rank': 12, 'major': 'N'}, {'name': 'glocations', 'value': 'Arizona', 'rank': 13, 'major': 'N'}, {'name': 'glocations', 'value': 'Colorado', 'rank': 14, 'major': 'N'}, {'name': 'glocations', 'value': 'Pennsylvania', 'rank': 15, 'major': 'N'}, {'name': 'persons', 'value': 'Lhamon, Catherine E', 'rank': 16, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 17, 'major': 'N'}, {'name': 'glocations', 'value': 'Southlake (Tex)', 'rank': 18, 'major': 'N'}, {'name': 'glocations', 'value': 'Doylestown (Pa)', 'rank': 19, 'major': 'N'}, {'name': 'glocations', 'value': 'Bucks County (Pa)', 'rank': 20, 'major': 'N'}]",Washington,"{'main': 'Strife in the Schools: Education Dept. Logs Record Number of Discrimination Complaints', 'kicker': None, 'content_kicker': None, 'print_headline': 'Education Dept. Logs Big Surge In Bias Claims', 'name': None, 'seo': None, 'sub': None}",2023-01-01T08:00:18+0000,0.9877789616584778,0.012220996432006359,-0.9755579652264714
"As American companies seek to limit their exposure to the pitfalls of making goods in China, some are moving production to Mexico.","[{'name': 'subject', 'value': 'Outsourcing', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'International Trade and World Market', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Factories and Manufacturing', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Supply Chain', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'United States Economy', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'China', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Mexico', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'Mexico City (Mexico)', 'rank': 9, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Uniforms', 'rank': 11, 'major': 'N'}, {'name': 'organizations', 'value': 'Walmart Stores Inc', 'rank': 12, 'major': 'N'}]",Business,"{'main': '‘OK, Mexico, Save Me’: After China, This Is Where Globalization May Lead', 'kicker': None, 'content_kicker': None, 'print_headline': 'Made in China? U.S. Companies Shift to Mexico.', 'name': None, 'seo': None, 'sub': None}",2023-01-01T08:00:28+0000,0.9658548831939697,0.03414513170719147,-0.9317097514867783
Kim Jong-un told a Workers’ Party meeting that his country must mass-produce nuclear missiles that could hit South Korea.,"[{'name': 'glocations', 'value': 'North Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'South Korea', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Nuclear Weapons', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Missiles and Missile Defense Systems', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Kim Jong-un', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Yoon Suk-yeol', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 7, 'major': 'N'}]",Foreign,"{'main': 'North Korea Vows to Escalate Nuclear Threat Against the South', 'kicker': None, 'content_kicker': None, 'print_headline': 'North Korea Vows ‘Exponential Increase’ in Nuclear Arms Threatening South', 'name': None, 'seo': None, 'sub': None}",2023-01-01T08:13:40+0000,0.9903209805488586,0.009679025039076805,-0.9806419555097818
"Facing high interest rates and home prices, some buyers have only a small down payment to offer. But they still have plenty of options.","[{'name': 'subject', 'value': 'Mortgages', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Personal Finances', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Real Estate and Housing (Residential)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Interest Rates', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal Home Loan Mortgage Corp (Freddie Mac)', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal Housing Administration', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal National Mortgage Assn (Fannie Mae)', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Credit and Debt', 'rank': 8, 'major': 'N'}]",Business,"{'main': 'Your 2023 Guide to Low-Down-Payment Mortgages', 'kicker': 'your money', 'content_kicker': None, 'print_headline': 'How to Buy With Little Down', 'name': None, 'seo': None, 'sub': None}",2023-01-01T10:00:08+0000,0.00048252378473989666,0.9995174407958984,0.9990349170111585
Continental Drift is one of Henry Segerman’s latest efforts to make mathematics “real.”,"[{'name': 'persons', 'value': 'Segerman, Henry', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Puzzles', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Mathematics', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Inventions and Patents', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'your-feed-science', 'rank': 6, 'major': 'N'}]",Science,"{'main': 'A New Puzzle Turns Earth Into a Rubik’s Cube, but More Complex', 'kicker': None, 'content_kicker': None, 'print_headline': 'A New Puzzle Treats Earth Like a Rubik’s Cube', 'name': None, 'seo': None, 'sub': None}",2023-01-01T10:00:15+0000,0.03714936971664429,0.9628506302833557,0.9257012605667114
"Amid a tech cold war with China, U.S. companies have pledged nearly $200 billion for chip manufacturing projects since early 2020. But the investments are not a silver bullet.","[{'name': 'subject', 'value': 'Factories and Manufacturing', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Computer Chips', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Computers and the Internet', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Colleges and Universities', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'United States Economy', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Foreign Workers', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'International Trade and World Market', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Tax Credits, Deductions and Exemptions', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'Intel Corporation', 'rank': 11, 'major': 'N'}, {'name': 'organizations', 'value': 'Samsung Electronics Co', 'rank': 12, 'major': 'N'}, {'name': 'organizations', 'value': 'Micron Technology Inc', 'rank': 13, 'major': 'N'}, {'name': 'organizations', 'value': 'Taiwan Semiconductor Manufacturing Company Ltd', 'rank': 14, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 15, 'major': 'N'}, {'name': 'glocations', 'value': 'China', 'rank': 16, 'major': 'N'}, {'name': 'glocations', 'value': 'Taiwan', 'rank': 17, 'major': 'N'}, {'name': 'glocations', 'value': 'Syracuse (NY)', 'rank': 18, 'major': 'N'}, {'name': 'glocations', 'value': 'Phoenix (Ariz)', 'rank': 19, 'major': 'N'}]",Business,"{'main': 'U.S. Pours Money Into Chips, but Even Soaring Spending Has Limits', 'kicker': None, 'content_kicker': None, 'print_headline': 'Watching China, U.S. Pours Cash Into Chip Making', 'name': None, 'seo': None, 'sub': None}",2023-01-01T10:00:16+0000,0.8916584849357605,0.10834154486656189,-0.7833169400691986
